kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",SENIOŘI 21,Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu
538043,Babice,884,679,662,8,6,10,52,23,0,24,0,4,12,263,0,1,2,143,5,107,2
538051,Bašť,1 581,1 169,1 162,8,6,7,54,56,0,34,3,1,38,543,1,0,0,178,17,214,2
534684,Borek,250,194,192,1,1,1,3,6,0,3,1,0,8,81,0,0,0,35,0,52,0
538086,Bořanovice,680,531,524,3,1,4,23,24,0,18,0,1,31,207,1,1,0,74,12,116,8
538094,Brandýs nad Labem-Stará Boleslav,13 340,9 270,9 222,66,34,61,603,359,9,257,19,17,391,3 169,9,3,12,1 964,234,1 989,26
538108,Brázdim,536,384,381,7,0,3,29,17,0,12,2,0,18,111,2,0,0,73,12,95,0
564869,Březí,419,303,300,2,3,2,17,4,0,5,0,0,10,125,0,2,0,71,7,47,5
538132,Čelákovice,8 837,6 312,6 277,57,16,48,356,283,5,137,8,7,258,2 202,17,15,9,1 264,177,1 399,19
533254,Černé Voděrady,289,215,214,2,3,0,21,18,0,5,1,0,11,52,0,0,0,50,9,42,0
538141,Čestlice,526,398,395,1,1,1,30,15,0,5,2,0,18,126,0,0,4,81,7,101,3
565008,Dobročovice,231,165,164,0,1,0,6,2,0,10,0,0,7,65,1,0,0,41,6,25,0
538167,Dobřejovice,777,583,583,9,6,4,17,14,2,13,0,2,28,227,2,2,0,113,9,134,1
564885,Doubek,351,278,277,2,0,1,12,8,0,12,2,0,14,98,0,0,0,70,5,52,1
538191,Dřevčice,594,426,424,3,0,9,25,23,0,12,0,0,15,149,0,0,0,82,6,98,2
534781,Dřísy,737,493,489,2,1,3,60,19,0,19,3,0,24,153,3,0,0,68,10,123,1
564915,Herink,561,432,429,4,3,6,28,4,0,10,0,0,15,194,1,0,0,84,4,73,3
565989,Hlavenec,284,227,226,3,3,1,15,4,0,3,1,0,12,77,1,0,1,45,2,58,0
538221,Horoušany,1 069,823,821,5,5,10,57,26,0,21,2,1,53,317,0,1,1,163,14,141,4
538230,Hovorčovice,1 746,1 360,1 350,4,5,14,93,44,0,28,2,0,34,585,0,1,3,208,23,303,3
538248,Hrusice,630,471,469,3,5,3,31,14,0,18,0,1,21,168,2,0,3,112,8,80,0
538256,Husinec,1 034,821,821,6,3,12,31,25,0,14,0,1,35,309,0,0,0,255,12,117,1
538264,Jenštejn,778,584,581,8,3,3,27,15,2,18,1,1,20,246,0,3,3,138,9,79,5
533378,Jevany,595,446,443,4,0,3,21,21,1,11,0,1,10,196,2,1,3,80,7,76,6
538272,Jirny,2 053,1 616,1 612,13,8,8,101,59,2,59,4,1,67,674,4,3,1,311,18,272,7
538281,Kaliště,260,173,172,3,2,2,19,6,0,5,0,0,5,44,0,0,1,40,0,42,3
